date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:26	12669/12669	---MC-	403	error ('Forbidden')	text/html	date:Tue,%2010%20Sep%202024%2011:50:16%20GMT	https://abidev2022.abinit.org/robots.txt		(from )
11:50:26	119495/119495	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:50:16%20GMT	https://abidev2022.abinit.org/	abidev2022.abinit.org/index.html	(from )
11:50:27	115230/115230	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221c21e-5d9e2c8dcda4c%22	https://abidev2022.abinit.org/images/logos/favicon.ico	abidev2022.abinit.org/images/logos/favicon.ico	(from https://abidev2022.abinit.org/)
11:50:27	163827/163827	---M-Z	200	added ('OK')	text/css	etag:%2227ff3-5d9c886854095-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	(from https://abidev2022.abinit.org/)
11:50:28	312319/312319	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2011:50:19%20GMT	https://abidev2022.abinit.org/?quix-asset=/css/quix-core.css&ver=4.1.9	abidev2022.abinit.org/index0fda.html	(from https://abidev2022.abinit.org/)
11:50:28	2180/2180	---M-Z	200	added ('OK')	text/css	etag:%22884-5d9c886833cf5-gzip%22	https://abidev2022.abinit.org/plugins/system/helixultimate/assets/css/system-j3.min.css	abidev2022.abinit.org/plugins/system/helixultimate/assets/css/system-j3.min.css	(from https://abidev2022.abinit.org/)
11:50:29	0/0	---M--	303	error ('See%20other')	text/html	date:Tue,%2010%20Sep%202024%2011:50:18%20GMT	https://abidev2022.abinit.org/?format=amp	abidev2022.abinit.org/index22c8.html	(from https://abidev2022.abinit.org/)
11:50:29	59291/59291	---M-Z	200	added ('OK')	text/css	etag:%22e79b-5d9c8868530f5-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/font-awesome.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/font-awesome.min.css	(from https://abidev2022.abinit.org/)
11:50:30	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-5d9c886854095-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/v4-shims.min.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/v4-shims.min.css	(from https://abidev2022.abinit.org/)
11:50:31	75603/75603	---M-Z	200	added ('OK')	text/css	etag:%2212753-6007310486960-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/template.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/template.css	(from https://abidev2022.abinit.org/)
11:50:32	4025/4025	---M-Z	200	added ('OK')	text/css	etag:%22fb9-600731048b780-gzip%22	https://abidev2022.abinit.org/templates/shaper_helixultimate/css/presets/default.css	abidev2022.abinit.org/templates/shaper_helixultimate/css/presets/default.css	(from https://abidev2022.abinit.org/)
11:50:34	409245/409245	---M--	200	added ('OK')	image/jpeg	etag:%2263e9d-5da1e714cdbba%22	https://abidev2022.abinit.org/images/images/abinit_configure.jpg	abidev2022.abinit.org/images/images/abinit_configure.jpg	(from https://abidev2022.abinit.org/)
11:50:35	119591/119591	---M--	200	added ('OK')	image/jpeg	etag:%221d327-5d9e304d1ad07%22	https://abidev2022.abinit.org/images/images/abidev22_home.jpg	abidev2022.abinit.org/images/images/abidev22_home.jpg	(from https://abidev2022.abinit.org/)
11:50:37	198228/198228	---M--	200	added ('OK')	font/ttf	etag:%2230654-5d9e2c8db828c%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	(from https://abidev2022.abinit.org/)
11:50:37	193384/193384	---M--	200	added ('OK')	font/ttf	etag:%222f368-5d9e2c8dbb16c%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-Italic.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-Italic.ttf	(from https://abidev2022.abinit.org/)
11:50:39	174008/174008	---M--	200	added ('OK')	font/ttf	etag:%222a7b8-5d9e2c8dba1cc%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-Bold.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-Bold.ttf	(from https://abidev2022.abinit.org/)
11:50:39	97646/97646	---M-Z	200	added ('OK')	application/javascript	etag:%2217d6e-5fffa7dbd0600-gzip%22	https://abidev2022.abinit.org/media/jui/js/jquery.min.js?7d56da9332891b25b712fe45764acf86	abidev2022.abinit.org/media/jui/js/jquery.minc3d9.js	(from https://abidev2022.abinit.org/)
11:50:40	189004/189004	---M--	200	added ('OK')	font/ttf	etag:%222e24c-5d9e2c8db634b%22	https://abidev2022.abinit.org/images/fonts/UbuntuMono-Regular.ttf	abidev2022.abinit.org/images/fonts/UbuntuMono-Regular.ttf	(from https://abidev2022.abinit.org/)
11:50:40	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5fffa7dbd0600-gzip%22	https://abidev2022.abinit.org/media/jui/js/jquery-migrate.min.js?7d56da9332891b25b712fe45764acf86	abidev2022.abinit.org/media/jui/js/jquery-migrate.minc3d9.js	(from https://abidev2022.abinit.org/)
