date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:03	744/744	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2288d-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/robots.txt		(from )
11:30:04	16533/16533	---M-Z	200	added ('OK')	text/html	etag:%221714571345-0-gzip%22	https://abidev2019.abinit.org/	abidev2019.abinit.org/index.html	(from )
11:30:04	4494/4494	---M-Z	200	added ('OK')	application/rss+xml	etag:%221714607792-0-gzip%22	https://abidev2019.abinit.org/rss.xml	abidev2019.abinit.org/rss.xml	(from https://abidev2019.abinit.org/)
11:30:05	67646/67646	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221083e-580aa82568d36%22	https://abidev2019.abinit.org/sites/abidev2019.abinit.org/files/favicon.ico	abidev2019.abinit.org/sites/abidev2019.abinit.org/files/favicon.ico	(from https://abidev2019.abinit.org/)
11:30:06	5428/5428	---M-Z	200	added ('OK')	text/css	etag:%221534-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/system/system.base.css?sct7ok	abidev2019.abinit.org/modules/system/system.base6133.css	(from https://abidev2019.abinit.org/)
11:30:07	2035/2035	---M-Z	200	added ('OK')	text/css	etag:%227f3-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/system/system.menus.css?sct7ok	abidev2019.abinit.org/modules/system/system.menus6133.css	(from https://abidev2019.abinit.org/)
11:30:08	961/961	---M-Z	200	added ('OK')	text/css	etag:%223c1-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/system/system.messages.css?sct7ok	abidev2019.abinit.org/modules/system/system.messages6133.css	(from https://abidev2019.abinit.org/)
11:30:09	3711/3711	---M-Z	200	added ('OK')	text/css	etag:%22e7f-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/system/system.theme.css?sct7ok	abidev2019.abinit.org/modules/system/system.theme6133.css	(from https://abidev2019.abinit.org/)
11:30:10	184/184	---M-Z	200	added ('OK')	text/css	etag:%22b8-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/comment/comment.css?sct7ok	abidev2019.abinit.org/modules/comment/comment6133.css	(from https://abidev2019.abinit.org/)
11:30:11	550/550	---M-Z	200	added ('OK')	text/css	etag:%22226-61a272a7ac6c0-gzip%22	https://abidev2019.abinit.org/modules/field/theme/field.css?sct7ok	abidev2019.abinit.org/modules/field/theme/field6133.css	(from https://abidev2019.abinit.org/)
