date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:37	150951/150951	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:19:04%20GMT	https://school2024.abinit.org/	school2024.abinit.org/index.html	(from )
12:22:37	1556/1556	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202024%2011:19:04%20GMT	https://school2024.abinit.org/robots.txt		(from )
12:22:38	152126/152126	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222523e-603bfe6b62ec0%22	https://school2024.abinit.org/images/logos/abischool_icon.ico	school2024.abinit.org/images/logos/abischool_icon.ico	(from https://school2024.abinit.org/)
12:22:38	3964/3964	---M-Z	200	added ('OK')	text/css	etag:%22f7c-5ffcb58fd6a00-gzip%22	https://school2024.abinit.org/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	school2024.abinit.org/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from https://school2024.abinit.org/)
12:22:40	304632/304632	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2011:19:07%20GMT	https://school2024.abinit.org/index.php?quix-asset=/css/quix-core.css&ver=4.4.2	school2024.abinit.org/index006c.css	(from https://school2024.abinit.org/)
12:22:40	194854/194854	---M-Z	200	added ('OK')	text/css	etag:%222f926-6026c1bd465e0-gzip%22	https://school2024.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	school2024.abinit.org/templates/shaper_helixultimate/css/bootstrap.min.css	(from https://school2024.abinit.org/)
12:22:41	5202/5202	---M-Z	200	added ('OK')	text/css	etag:%221452-6026c1bd1b660-gzip%22	https://school2024.abinit.org/plugins/system/helixultimate/assets/css/system-j4.min.css	school2024.abinit.org/plugins/system/helixultimate/assets/css/system-j4.min.css	(from https://school2024.abinit.org/)
12:22:42	75886/75886	---M-Z	200	added ('OK')	text/css	etag:%221286e-5ffcb5a2e9700-gzip%22	https://school2024.abinit.org/media/system/css/joomla-fontawesome.min.css?ca1441d9e5ea55f4676d32de4da65336	school2024.abinit.org/media/system/css/joomla-fontawesome.min0473.css	(from https://school2024.abinit.org/)
12:22:43	78267/78267	---M-Z	200	added ('OK')	text/css	etag:%22131bb-60f107c4e9ca0-gzip%22	https://school2024.abinit.org/templates/shaper_helixultimate/css/template.css	school2024.abinit.org/templates/shaper_helixultimate/css/template.css	(from https://school2024.abinit.org/)
12:22:44	4033/4033	---M-Z	200	added ('OK')	text/css	etag:%22fc1-60f107c4ebbe0-gzip%22	https://school2024.abinit.org/templates/shaper_helixultimate/css/presets/default.css	school2024.abinit.org/templates/shaper_helixultimate/css/presets/default.css	(from https://school2024.abinit.org/)
12:22:46	409245/409245	---M--	200	added ('OK')	image/jpeg	etag:%2263e9d-5da1e71487000%22	https://school2024.abinit.org//images/images/abinit_configure.jpg	school2024.abinit.org/images/images/abinit_configure.jpg	(from https://school2024.abinit.org/)
12:22:48	198228/198228	---M--	200	added ('OK')	font/ttf	etag:%2230654-5d9e2c8d82cc0%22	https://school2024.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	school2024.abinit.org/images/fonts/UbuntuMono-BoldItalic.ttf	(from https://school2024.abinit.org/)
12:22:50	193384/193384	---M--	200	added ('OK')	font/ttf	etag:%222f368-5d9e2c8d82cc0%22	https://school2024.abinit.org/images/fonts/UbuntuMono-Italic.ttf	school2024.abinit.org/images/fonts/UbuntuMono-Italic.ttf	(from https://school2024.abinit.org/)
12:22:50	174008/174008	---M--	200	added ('OK')	font/ttf	etag:%222a7b8-5d9e2c8d82cc0%22	https://school2024.abinit.org/images/fonts/UbuntuMono-Bold.ttf	school2024.abinit.org/images/fonts/UbuntuMono-Bold.ttf	(from https://school2024.abinit.org/)
12:22:51	89947/89947	---M-Z	200	added ('OK')	application/javascript	etag:%2215f5b-5ffcb58fd6a00-gzip%22	https://school2024.abinit.org/media/vendor/jquery/js/jquery.min.js?3.6.3	school2024.abinit.org/media/vendor/jquery/js/jquery.mind569.js	(from https://school2024.abinit.org/)
12:22:52	189004/189004	---M--	200	added ('OK')	font/ttf	etag:%222e24c-5d9e2c8d82cc0%22	https://school2024.abinit.org/images/fonts/UbuntuMono-Regular.ttf	school2024.abinit.org/images/fonts/UbuntuMono-Regular.ttf	(from https://school2024.abinit.org/)
12:22:52	2784302/2784302	---M--	200	added ('OK')	image/png	etag:%222a7c2e-604130366e2a0%22	https://school2024.abinit.org//images/images/abidev22_home_8.png	school2024.abinit.org/images/images/abidev22_home_8.png	(from https://school2024.abinit.org/)
12:22:52	26/26	---M--	200	added ('OK')	application/javascript	etag:%221a-5ffcb5a2e9700%22	https://school2024.abinit.org/media/legacy/js/jquery-noconflict.min.js?04499b98c0305b16b373dff09fe79d1290976288	school2024.abinit.org/media/legacy/js/jquery-noconflict.minaad7.js	(from https://school2024.abinit.org/)
12:22:53	7706/7706	---M-Z	200	added ('OK')	application/javascript	etag:%221e1a-5ffcb5ac72d80-gzip%22	https://school2024.abinit.org/media/system/js/core.min.js?576eb51da909dcf692c98643faa6fc89629ead18	school2024.abinit.org/media/system/js/core.min7335.js	(from https://school2024.abinit.org/)
12:22:54	148485/148485	---M-Z	200	added ('OK')	application/javascript	etag:%2224405-5ffcb5bd9d600-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/bootstrap-es5.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/bootstrap-es5.min79ff.js	(from https://school2024.abinit.org/)
12:22:55	3556/3556	---M-Z	200	added ('OK')	application/javascript	etag:%22de4-5ffcb5aa8a900-gzip%22	https://school2024.abinit.org/media/system/js/showon-es5.min.js?4773265a19291954f19755d6f2ade3ca7ed9022f	school2024.abinit.org/media/system/js/showon-es5.min6186.js	(from https://school2024.abinit.org/)
12:22:56	8506/8506	---M-Z	200	added ('OK')	application/javascript	etag:%22213a-5ffcb5b043680-gzip%22	https://school2024.abinit.org/media/system/js/messages-es5.min.js?44e3f60beada646706be6569e75b36f7cf293bf9	school2024.abinit.org/media/system/js/messages-es5.minb614.js	(from https://school2024.abinit.org/)
12:22:57	1271/1271	---M-Z	200	added ('OK')	application/javascript	etag:%224f7-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/alert.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/alert.min79ff.js	(from https://school2024.abinit.org/)
12:22:58	1074/1074	---M-Z	200	added ('OK')	application/javascript	etag:%22432-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/button.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/button.min79ff.js	(from https://school2024.abinit.org/)
12:22:59	7347/7347	---M-Z	200	added ('OK')	application/javascript	etag:%221cb3-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/carousel.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/carousel.min79ff.js	(from https://school2024.abinit.org/)
12:23:00	5043/5043	---M-Z	200	added ('OK')	application/javascript	etag:%2213b3-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/collapse.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/collapse.min79ff.js	(from https://school2024.abinit.org/)
12:23:01	8167/8167	---M-Z	200	added ('OK')	application/javascript	etag:%221fe7-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/dropdown.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/dropdown.min79ff.js	(from https://school2024.abinit.org/)
12:23:02	8431/8431	---M-Z	200	added ('OK')	application/javascript	etag:%2220ef-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/modal.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/modal.min79ff.js	(from https://school2024.abinit.org/)
12:23:03	4683/4683	---M-Z	200	added ('OK')	application/javascript	etag:%22124b-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/offcanvas.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/offcanvas.min79ff.js	(from https://school2024.abinit.org/)
12:23:04	12624/12624	---M-Z	200	added ('OK')	application/javascript	etag:%223150-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/popover.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/popover.min79ff.js	(from https://school2024.abinit.org/)
12:23:05	4970/4970	---M-Z	200	added ('OK')	application/javascript	etag:%22136a-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/scrollspy.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/scrollspy.min79ff.js	(from https://school2024.abinit.org/)
12:23:06	6063/6063	---M-Z	200	added ('OK')	application/javascript	etag:%2217af-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/tab.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/tab.min79ff.js	(from https://school2024.abinit.org/)
12:23:07	3449/3449	---M-Z	200	added ('OK')	application/javascript	etag:%22d79-5ffcb5b22bb00-gzip%22	https://school2024.abinit.org/media/vendor/bootstrap/js/toast.min.js?5.2.3	school2024.abinit.org/media/vendor/bootstrap/js/toast.min79ff.js	(from https://school2024.abinit.org/)
12:23:08	3427/3427	---M-Z	200	added ('OK')	application/javascript	etag:%22d63-5ffcb5a4d1b80-gzip%22	https://school2024.abinit.org/media/system/js/showon.min.js?bfc733e48a923aaffb3d959cd04f176bad7d7d52	school2024.abinit.org/media/system/js/showon.min8e34.js	(from https://school2024.abinit.org/)
12:23:09	5419/5419	---M-Z	200	added ('OK')	application/javascript	etag:%22152b-5ffcb5ac72d80-gzip%22	https://school2024.abinit.org/media/system/js/messages.min.js?7425e8d1cb9e4f061d5e30271d6d99b085344117	school2024.abinit.org/media/system/js/messages.minae9f.js	(from https://school2024.abinit.org/)
12:23:11	163405/163405	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2010%20Sep%202024%2011:19:38%20GMT	https://school2024.abinit.org/index.php?quix-asset=/js/quix.vendor.js&ver=4.4.2	school2024.abinit.org/indexc627.php	(from https://school2024.abinit.org/)
12:23:11	9807/9807	---M-Z	200	added ('OK')	application/javascript	etag:%22264f-6026c1bd540a0-gzip%22	https://school2024.abinit.org/templates/shaper_helixultimate/js/main.js	school2024.abinit.org/templates/shaper_helixultimate/js/main.js	(from https://school2024.abinit.org/)
12:23:12	25484/25484	---M--	200	added ('OK')	image/svg+xml	etag:%22638c-603bf820dc000%22	https://school2024.abinit.org/images/logos/abischool_logo_dark.svg	school2024.abinit.org/images/logos/abischool_logo_dark.svg	(from https://school2024.abinit.org/)
12:23:13	36719/36719	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:19:41%20GMT	https://school2024.abinit.org/program/program-and-speakers	school2024.abinit.org/program/program-and-speakers.html	(from https://school2024.abinit.org/)
12:23:15	607145/607145	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:19:42%20GMT	https://school2024.abinit.org/resources/location	school2024.abinit.org/resources/location.html	(from https://school2024.abinit.org/)
12:23:15	27709/27709	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:19:43%20GMT	https://school2024.abinit.org/register/school-registration	school2024.abinit.org/register/school-registration.html	(from https://school2024.abinit.org/)
12:23:16	17328/17328	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2011:19:44%20GMT	https://school2024.abinit.org/login	school2024.abinit.org/login.html	(from https://school2024.abinit.org/)
