date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:13	4601/4601	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202024%2012:14:03%20GMT	https://school2017.abinit.org/robots.txt		(from )
12:14:13	7224/7224	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2012:14:03%20GMT	https://school2017.abinit.org/	school2017.abinit.org/index.html	(from )
12:14:13	2019/2019	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227e3-5fffa7dbd0600%22	https://school2017.abinit.org/templates/protostar/favicon.ico	school2017.abinit.org/templates/protostar/favicon.ico	(from https://school2017.abinit.org/)
12:14:14	606/606	---M-Z	200	added ('OK')	text/css	etag:%2225e-545d9f5c37340-gzip%22	https://school2017.abinit.org/plugins/content/pdf_embed/assets/css/style.css	school2017.abinit.org/plugins/content/pdf_embed/assets/css/style.css	(from https://school2017.abinit.org/)
12:14:15	164388/164388	---M-Z	200	added ('OK')	text/css	etag:%2228224-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/templates/protostar/css/template.css?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/templates/protostar/css/template4373.css	(from https://school2017.abinit.org/)
12:14:16	97646/97646	---M-Z	200	added ('OK')	application/javascript	etag:%2217d6e-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/media/jui/js/jquery.min.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/media/jui/js/jquery.min4373.js	(from https://school2017.abinit.org/)
12:14:17	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5fffa7dbd0600%22	https://school2017.abinit.org/media/jui/js/jquery-noconflict.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/media/jui/js/jquery-noconflict4373.js	(from https://school2017.abinit.org/)
12:14:18	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/media/jui/js/jquery-migrate.min.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/media/jui/js/jquery-migrate.min4373.js	(from https://school2017.abinit.org/)
12:14:19	491/491	---M-Z	200	added ('OK')	application/javascript	etag:%221eb-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/media/system/js/caption.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/media/system/js/caption4373.js	(from https://school2017.abinit.org/)
12:14:20	29126/29126	---M-Z	200	added ('OK')	application/javascript	etag:%2271c6-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/media/jui/js/bootstrap.min.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/media/jui/js/bootstrap.min4373.js	(from https://school2017.abinit.org/)
12:14:21	2050/2050	---M-Z	200	added ('OK')	application/javascript	etag:%22802-5fffa7dbd0600-gzip%22	https://school2017.abinit.org/templates/protostar/js/template.js?88c3370b9ebfd1c66051135684cd14e0	school2017.abinit.org/templates/protostar/js/template4373.js	(from https://school2017.abinit.org/)
12:14:22	15521/15521	---M--	200	added ('OK')	image/png	etag:%223ca1-538858a2464c0%22	https://school2017.abinit.org/images/abinit.png	school2017.abinit.org/images/abinit.png	(from https://school2017.abinit.org/)
12:14:23	7119/7119	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2012:14:14%20GMT	https://school2017.abinit.org/program	school2017.abinit.org/program.html	(from https://school2017.abinit.org/)
12:14:24	8069/8069	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2012:14:15%20GMT	https://school2017.abinit.org/location	school2017.abinit.org/location.html	(from https://school2017.abinit.org/)
